propertyName,locationLink,building,floor,updatedAt,propertyLink,price,createdAt,location
2 BHK Flat on outright,/location/parel,crescent bay complex,45,07-Aug,/listing/2-bhk-apartment-sale-crescent-bay-complex-parel-parel/7118702,₹ 4 Crs,08-Jul,Parel
3 BHK Flat on outright,/location/parel,crescent Bay complex,45,07-Aug,/listing/3-bhk-apartment-sale-crescent-bay-complex-parel-parel/7118703,₹ 5 Crs,08-Jul,Parel
3 BHK Flat on outright,/location/prabhadevi,Raheja Empress,19,07-Aug,/listing/3-bhk-apartment-sale-raheja-empress-prabhadevi-prabhadevi/7118705,₹ 7.9 Crs,08-Jul,Prabhadevi
3 BHK Flat on outright,/location/worli,Lodha The Park,45,07-Aug,/listing/3-bhk-apartment-sale-lodha-the-park-worli-worli/7118707,₹ 6.5 Crs,08-Jul,Worli
2 BHK Flat on outright,/location/worli,Lodha The Park,47,07-Aug,/listing/2-bhk-apartment-sale-lodha-the-park-worli-worli/7118752,₹ 4.51 Crs,07-Jul,Worli
3 BHK Flat on outright,/location/mahim,Princecare Zinnia,7,07-Aug,/listing/3-bhk-apartment-sale-princecare-zinnia-mahim-mahim-west/7051055,₹ 6 Crs,08-Jul,Mahim
2 BHK Flat on lease,/location/mahim,Csango House,4,08-Aug,/listing/2-bhk-apartment-rent-csango-house-mahim-mahim-west/9005976,₹ 75000,08-Jul,Mahim
2 BHK Flat on lease,/location/mahim,Dev Arti Building,1,08-Aug,/listing/2-bhk-apartment-rent-dev-arti-building-mahim-mahim-west/9005977,₹ 70000,08-Jul,Mahim
2 BHK Flat on lease,/location/mahim,Garden Colony,1,08-Aug,/listing/2-bhk-apartment-rent-garden-colony-mahim-mahim-west/9005978,₹ 70000,08-Jul,Mahim
3 BHK Flat on lease,/location/mahim,Princecare Zinnia,9,08-Aug,/listing/3-bhk-apartment-rent-princecare-zinnia-mahim-mahim-west/9005980,₹ 1 Lakh,08-Jul,Mahim
2 BHK Flat on lease,/location/mahim,Raheja Brook Ville,11,08-Aug,/listing/2-bhk-apartment-rent-raheja-brook-ville-mahim-mahim-west/9005981,₹ 1.2 Lakh,08-Jul,Mahim
2 BHK Flat on lease,/location/mahim,Suraj Elegenza 2,9,08-Aug,/listing/2-bhk-apartment-rent-suraj-elegenza-2-mahim-mahim-west/9005982,₹ 90000,08-Jul,Mahim
3 BHK Flat on lease,/location/mahim,shanta gurga,8,08-Aug,/listing/3-bhk-apartment-rent-shanta-gurga-mahim-mahim-west/9005983,₹ 1.1 Lakh,08-Jul,Mahim
3 BHK Flat on lease,/location/mahim,Omkar Vayu,4,08-Aug,/listing/3-bhk-apartment-rent-omkar-vayu-mahim-mahim-west/9005984,₹ 1.5 Lakh,08-Jul,Mahim
2 BHK Flat on lease,/location/mahim,dev dashan,5,08-Aug,/listing/2-bhk-apartment-rent-dev-dashan-mahim-mahim-west/9005985,₹ 75000,08-Jul,Mahim
2 BHK Flat on lease,/location/mahim,Navjivan CHS,3,08-Aug,/listing/2-bhk-apartment-rent-navjivan-chs-mahim-mahim-west/9005986,₹ 60000,08-Jul,Mahim
1 BHK Flat on lease,/location/mahim,Navjivan CHS,2,08-Aug,/listing/1-bhk-apartment-rent-navjivan-chs-mahim-mahim-west/9005987,₹ 55000,08-Jul,Mahim
1 BHK Flat on lease,/location/mahim,Omkar Vayu,12,08-Aug,/listing/1-bhk-apartment-rent-omkar-vayu-mahim-mahim-west/9005988,₹ 40000,08-Jul,Mahim
4 BHK Flat on lease,/location/parel,Kalpataru Avana,21,08-Aug,/listing/4-bhk-apartment-rent-kalpataru-avana-parel-parel/9025163,₹ 5 Lakh,08-Jul,Parel
3 BHK Flat on lease,/location/prabhadevi,Kalpataru Antariksha,10,08-Aug,/listing/3-bhk-apartment-rent-kalpataru-antariksha-prabhadevi-prabhadevi/9025164,₹ 1.5 Lakh,08-Jul,Prabhadevi
2 BHK Flat on lease,/location/prabhadevi,Paschim Apartments,13,08-Aug,/listing/2-bhk-apartment-rent-paschim-apartments-prabhadevi-prabhadevi/9026277,₹ 90000,08-Jul,Prabhadevi
4 BHK Flat on lease,/location/prabhadevi,Sumer Trinity Towers,12,08-Aug,/listing/4-bhk-apartment-rent-sumer-trinity-towers-prabhadevi-prabhadevi/9026279,₹ 2.75 Lakh,08-Jul,Prabhadevi
3 BHK Flat on lease,/location/prabhadevi,Cosmos Majestic,8,08-Aug,/listing/3-bhk-apartment-rent-cosmos-majestic-prabhadevi-prabhadevi/9026280,₹ 1.05 Lakh,08-Jul,Prabhadevi
2 BHK Flat on lease,/location/prabhadevi,Chaitanya Towers,12,08-Aug,/listing/2-bhk-apartment-rent-chaitanya-towers-prabhadevi-prabhadevi/9026281,₹ 1.2 Lakh,08-Jul,Prabhadevi
3 BHK Flat on lease,/location/prabhadevi,Chaitanya Towers,2,08-Aug,/listing/3-bhk-apartment-rent-chaitanya-towers-prabhadevi-prabhadevi/9026284,₹ 2 Lakh,08-Jul,Prabhadevi
3 BHK Flat on lease,/location/prabhadevi,Raheja Empress,9,08-Aug,/listing/3-bhk-apartment-rent-raheja-empress-prabhadevi-prabhadevi/9026285,₹ 2.5 Lakh,08-Jul,Prabhadevi
2 BHK Flat on lease,/location/prabhadevi,Textila CHS,2,08-Aug,/listing/2-bhk-apartment-rent-textila-chs-prabhadevi-prabhadevi/9026286,₹ 85000,08-Jul,Prabhadevi
2 BHK Flat on lease,/location/prabhadevi,Twin Towers Premises,15,08-Aug,/listing/2-bhk-apartment-rent-twin-towers-premises-prabhadevi-prabhadevi/9026287,₹ 1.05 Lakh,08-Jul,Prabhadevi
2 BHK Flat on lease,/location/prabhadevi,Prathamesh CHS,6,08-Aug,/listing/2-bhk-apartment-rent-prathamesh-chs-prabhadevi-prabhadevi/9026288,₹ 90000,08-Jul,Prabhadevi
